NCT Number,Study Results,Sex,Age,Study Type
NCT00537394,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01468532,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00243932,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01198028,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03634228,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00303628,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00711828,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00054028,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02880228,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00653328,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00004228,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00095628,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01585428,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00552084,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00342628,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02507284,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01606878,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00965458,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00718328,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01185028,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00275028,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00519428,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01967628,YES,ALL,ADULT,INTERVENTIONAL
NCT03512028,YES,ALL,ADULT,INTERVENTIONAL
NCT00730028,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00109928,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00136084,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01723384,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00104884,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00301028,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00572728,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00100828,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02438358,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02057458,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00082758,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT02426658,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03323658,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02967458,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01280058,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01701258,YES,FEMALE,ADULT,INTERVENTIONAL
NCT02737358,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02728258,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02062658,YES,ALL,ADULT,INTERVENTIONAL
NCT02304458,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00568958,YES,ALL,ADULT,INTERVENTIONAL
NCT00104858,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00656058,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00367458,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01160458,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02481258,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01969058,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01543958,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00840658,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00374127,YES,ALL,ADULT,INTERVENTIONAL
NCT00864227,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00477204,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00605904,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01547806,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03122106,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00297427,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00784927,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03394027,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01707004,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03476317,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00579527,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00451204,YES,FEMALE,ADULT,INTERVENTIONAL
NCT04650217,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03063606,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00006227,YES,FEMALE,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00368927,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04552704,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01120704,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00356304,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02637427,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00001304,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00559104,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00698204,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00939627,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01192204,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02054104,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01010204,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00316004,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00124917,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03970109,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00276406,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00830804,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04106817,YES,ALL,ADULT,INTERVENTIONAL
NCT00068406,YES,FEMALE,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02013427,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01189227,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00515827,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00498927,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00968227,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04401904,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04316104,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02849704,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00314106,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03531827,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04460027,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01912404,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01287104,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00513604,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01065506,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00320606,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00331006,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02057406,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00601627,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01519427,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00976404,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01806571,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00217971,YES,ALL,ADULT,INTERVENTIONAL
NCT02411539,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02038179,YES,ALL,ADULT,INTERVENTIONAL
NCT00650091,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00663039,YES,ALL,ADULT,INTERVENTIONAL
NCT00713479,YES,ALL,ADULT,INTERVENTIONAL
NCT00704379,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00043979,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00339079,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00625391,YES,FEMALE,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01178671,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01220739,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00059839,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01687179,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00986479,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01384539,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03019939,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01806779,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02190279,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02838979,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00378079,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00090779,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00005879,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01641991,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03029091,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00133991,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01103271,YES,ALL,ADULT,INTERVENTIONAL
NCT01054339,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00252239,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01553539,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00687739,YES,FEMALE,ADULT,INTERVENTIONAL
NCT02243579,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01126879,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03000179,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01413191,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03023891,YES,ALL,ADULT,INTERVENTIONAL
NCT00144391,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00238108,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01794039,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00469079,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00119379,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02620579,YES,ALL,ADULT,INTERVENTIONAL
NCT00132691,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02420691,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00047879,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00000479,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01750879,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01632891,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00292591,YES,FEMALE,"CHILD, ADULT",INTERVENTIONAL
NCT01695291,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01176591,YES,ALL,ADULT,INTERVENTIONAL
NCT01103479,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04401579,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03681691,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00526591,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03978091,YES,ALL,ADULT,INTERVENTIONAL
NCT00620191,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00617708,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00363779,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00281879,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00880191,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00227591,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00089609,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01064479,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00093379,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00515879,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00886691,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00301808,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00835679,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02342691,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01666808,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02280408,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00468208,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01468909,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00924209,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01823679,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00705679,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00042991,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00079391,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00951379,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01898091,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01263691,YES,ALL,ADULT,INTERVENTIONAL
NCT00045708,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00318708,YES,ALL,ADULT,INTERVENTIONAL
NCT00378508,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT02204579,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00699491,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00046891,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01909791,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00074308,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01094808,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03685708,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01969708,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00742079,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00613379,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00124579,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04686279,YES,MALE,"CHILD, ADULT",INTERVENTIONAL
NCT00519779,YES,ALL,ADULT,INTERVENTIONAL
NCT01253408,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02440308,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00382109,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00023309,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00402779,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03226691,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00777491,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01375491,YES,ALL,ADULT,INTERVENTIONAL
NCT03035708,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00405639,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01263379,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04977479,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04332991,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00365391,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03388008,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02397408,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00408408,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01412879,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01602679,YES,FEMALE,ADULT,INTERVENTIONAL
NCT03861091,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02696291,YES,ALL,ADULT,INTERVENTIONAL
NCT00451191,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03937791,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02050308,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01776008,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00383071,YES,ALL,ADULT,INTERVENTIONAL
NCT00618839,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01084239,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00539539,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03478891,YES,ALL,ADULT,INTERVENTIONAL
NCT02774291,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02012491,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00482391,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01498991,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01717391,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04264208,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03087708,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00641108,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00085709,YES,ALL,ADULT,INTERVENTIONAL
NCT01145508,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00096109,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01767909,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00608491,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01118091,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02470091,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT03645408,YES,ALL,ADULT,INTERVENTIONAL
NCT00779909,YES,ALL,ADULT,INTERVENTIONAL
NCT00591591,YES,ALL,ADULT,INTERVENTIONAL
NCT01422408,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00621309,YES,ALL,ADULT,INTERVENTIONAL
NCT02151591,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02415608,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00567008,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00794508,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00201409,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03508609,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02003209,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01322009,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00142909,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00128206,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00230009,YES,FEMALE,ADULT,INTERVENTIONAL
NCT01250509,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00179309,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00310791,YES,FEMALE,"CHILD, ADULT",INTERVENTIONAL
NCT00536991,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01397591,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03122691,YES,ALL,ADULT,INTERVENTIONAL
NCT04542291,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01285908,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00588809,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01769209,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00218491,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01842308,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00718809,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00279708,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01957709,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01688609,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00271609,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03864406,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01054079,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00459108,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00320671,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT03831971,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02649439,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00556439,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03897439,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01067339,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01959139,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02231879,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01625091,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02176291,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00469508,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00421408,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01414608,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02020408,YES,FEMALE,ADULT,INTERVENTIONAL
NCT01712308,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00460109,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02366091,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00577408,YES,ALL,ADULT,INTERVENTIONAL
NCT03290391,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02051309,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00856609,YES,ALL,ADULT,INTERVENTIONAL
NCT00070291,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00785291,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01375608,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01220609,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00381706,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03364491,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00043108,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00942708,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02199509,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00118209,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02432209,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00318409,YES,MALE,ADULT,INTERVENTIONAL
NCT00054327,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01117727,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00054704,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00241904,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00310427,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01976806,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00641706,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02463227,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02634827,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02819804,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00019604,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03477006,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01447927,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00134004,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05229406,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01878006,YES,MALE,ADULT,INTERVENTIONAL
NCT03583606,YES,ALL,ADULT,INTERVENTIONAL
NCT02161406,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01928927,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01470027,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01902004,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00438204,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01857271,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01944371,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00227539,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02923739,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01425879,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02532179,YES,ALL,ADULT,INTERVENTIONAL
NCT02487979,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
